Complete_item_number,categories,enabled,family,groups,Category_Number,Item_Number,UPC_Number,Brand_name,Product_name_description_for_sales_in_Peach_Max_160,Peach_description_internal_short_name_Max_30,PRODUCT_CATEGORY,Stock_Item,Assembly_Item,Percentage_PCR_Materials,PCR_Asset_Class,Inner_Carton_QUANTITY_PCS,Master_Carton_QUANTITY_PCS,Master_Carton_BARCODE,Salon_Price_USD,40_off_FULL_SERVICE_Price_USD,40_and_10_off_Dealer_Price_USD,50_off_Dealer_Price_USD,55_off_Dealer_Price_USD,OTC_Distributor_Store_Price_USD,Retail_Price_USD,Retail_Price_CAD,Salon_Price_CAD,Ex_Factory_Price_USD,EX_Antioch_Price_USD,40_off_FULL_SERVICE_Price_CAD,40_10_Dealer_Price_CAD,50_off_Dealer_Price_CAD,55_off_Dealer_Price_CAD,Per_Piece_LENGTH_inches,Per_Piece_HEIGHT_inches,Per_Piece_WIDTH_inches,Per_Piece_NET_WEIGHT_OZ,Per_Piece_SHIPPING_WEIGHT_GROSS_WEIGHT_OZ,Inner_Carton_LENGTH_inches,Inner_Carton_HEIGHT_inches,Inner_Carton_WIDTH_inches,Inner_Carton_WEIGHT_OZ,Master_Carton_LENGTH_inches,Master_Carton_HEIGHT_inches,Master_Carton_WIDTH_inches,Master_Carton_WEIGHT_LBS,Per_Piece_LENGTH_cm,Per_Piece_HEIGHT_cm,Per_Piece_WIDTH_cm,Per_Piece_NET_WEIGHT_grams,Per_Piece_SHIPPING_WEIGHT_GROSS_WEIGHT_grams,Inner_Carton_LENGTH_cm,Inner_Carton_HEIGHT_cm,Inner_Carton_WIDTH_cm,Inner_Carton_WEIGHT_KG,Master_Carton_LENGTH_cm,Master_Carton_HEIGHT_cm,Master_Carton_WIDTH_cm,Master_Carton_WEIGHT_KG,Empty_Inner_Carton_Weight,Empty_Master_Carton_Weight,Product_Packaging_Weight,Plastic_Bag_Weight,Empty_Display_Weight,Zip_Tie_Grams,Hang_Tag_Grams,Plastic_Box_Grams,Info_Manual_Grams,Plug_Cover_Grams,Thermoform_Grams,Plastic_Film_Grams,VENDOR_NAME,Country_of_Origin,Purchase_Cost_USD,Production_MOQ_in_Pcs,Free_Trade_Agreement_Coverage,USMCA_NAFTA_CERTIFICATE,US_HTS_Customs_Code,US_Import_Duty_Rate_Component,US_Import_Duty_Unit_Component,Canada_Import_Duty_Unit_Component,Canada_Import_Duty_Rate_Component,Cases_Per_Layer,Pallet_Tier,Pallet_Height,Layers_Per_Pallet,Total_Cases_Per_Pallet,Total_Piece_Count_Per_Pallet,Pallet_Weight,Pallet_Height_Total,Pallet_Width,Pallet_Length,Rep_Commission_code,OGI_Commission_code,Prop_65_warning_needed,Prop_65_test_date,Main_Images_Dropbox_Folder_Link,Product_Logo,Product_Sell_Sheet_pdf_ENG_emailable_size_Link,Social_Media_Images_Dropbox_Folder_Link,Product_Tagline,Product_Feature_1,Product_Feature_2,Product_Feature_3,Product_Feature_4,Product_Feature_5,Product_Feature_6,Product_Feature_7,Product_Feature_8,Product_Feature_9,Product_Feature_10,YouTube_Link_EN_Link,YouTube_Link_SP_Link,YouTube_FR_Link,Vimeo_Link_EN_Link,Vimeo_Link_SP_Link,Vimeo_Link_FR_Link,Product_Sell_Sheet_pdf_SP_emailable_size_Link,Product_Sell_Sheet_pdf_FR_emailable_size_Link,LANGUAGES_ON_PRODUCT_PACKAGING,AMZ_Product_Name,AMZ_ASIN_Number,AMZ_Product_Description,AMZ_Product_Benefits,AMZ_Product_Usage,AMZ_Search_Term_Keywords_ALL,AMZ_Images_Dropbox_Folder_Link,Customer_reference_number,Customer_product_name,Customer_name,OG_product_or_Private_Label
CP-CRA2,apparel,1,og_products,,CP,CR-A2,752110981242,Olivia Garden,Charm Apron Burgundy,CHARM APRON BURGUNDY,Apparel,,,,,12,48,30752110981243,12.25,7.35,6.62,6.13,5.51,8.63,14.75,,14.79,2.8,,,,7.4,6.66,9.9,1,3.7,4.8,2.5624,7.8,10.3,7.7,3.85,16.2,11.3,16,16.95,25.146,2.54,9.398,136.0776,160.1474,19.812,26.162,19.558,1.746,41.148,28.702,40.64,7.6871,,,,,,,,,,,,,TIANBA,China,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/9mdqcvogf1a1jps/AAAFp4k-NqF2ir9leNvHVprWa?dl=0,,https://www.dropbox.com/s/ke7t9au6ktci3u4/Charm%20Apron%20Sell%20Sheet%20back.pdf?dl=0,,,Quick release EZ-Clip™ +  Adjustable neck strap & adjustable waist strap on back side,Large pockets reinforced along all edges + Slanted pocket opening helps keep hair out + Anti-static,"Waterproof & stain resistant + Comfortable lightweight breathable fabric + Easy care, wash & wear + One size fits all",,,,,,,,,,,,,,,,"English, French, Spanish",,,,,,,,,,,
715-CITVCOMD,hair_brushes,1,og_products,,715,CITV-COMD,752110715298,Olivia Garden,C + I Turbo Vent Combo Medium,C + I TURBO VENT COMBO MEDIUM,Hair Brushes,,,,,6,120,30752110715299,16.93,10.16,9.14,8.47,7.62,12.7,27.95,34.98,20.99,5.23,,,,10.5,9.45,9.4,2.5,2.5,3.408,2.0986,10.51,2.76,10.59,1.6063,22,22,15.2,34.7,23.876,6.35,6.35,96.6151,131.1637,26.7,7,26.9,0.7286,55.88,55.88,36.608,15.7396,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/7wk3o14lty8gkmo/AACyHii7KI_lf2RQ0F7JzSmWa?dl=0,,https://www.dropbox.com/s/4sdyw9i2k603ewp/CITV_Combo_SellSheet_LR.pdf?dl=0,,,Latest Ceramic Technology + Fast & better styling + Ceramic coated barrel + Maximizes heat,"Special blend of ionic bristles & 100% boar bristles + Eliminates frizz & flyaways + Create curls, add volume or straighten hair + Smooth shiny finish + Large vents maximize airflow",Tourmaline Ion Technology + Adds luster & sheen + Smooth hair,Unique Handle Design + Snag-free neck ring + Ergonomic comfort grip + Lightweight for effortless styling + Retractable sectioning pick,,,,,,,https://youtu.be/PZ0I64bLvKQ,https://youtu.be/7cMZtGsoSOI,https://youtu.be/Xczjl32kB-o,https://vimeo.com/105593456,https://vimeo.com/183907328,https://vimeo.com/184916114,,,"English, French, Spanish",,,,,,,,,,,
715-CITVCOGD,hair_brushes,1,og_products,,715,CITV-COGD,752110715304,Olivia Garden,C + I Turbo Vent Combo Grande,C + I TURBO VENT COMBO GRANDE,Hair Brushes,,,,,6,120,30752110715305,17.99,10.79,9.71,9,8.1,13.49,29.95,36.98,22.19,5.75,,,,11.1,9.99,9.3,3,3,4.208,2.7034,10.67,3.62,12.48,1.975,25.2,22.4,19.7,44.7,23.622,7.62,7.62,119.2947,168.963,27.1,9.2,31.7,0.8958,64.008,56.896,50.038,20.2756,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/7wk3o14lty8gkmo/AACyHii7KI_lf2RQ0F7JzSmWa?dl=0,,https://www.dropbox.com/s/4sdyw9i2k603ewp/CITV_Combo_SellSheet_LR.pdf?dl=0,,,Latest Ceramic Technology + Fast & better styling + Ceramic coated barrel + Maximizes heat,"Special blend of ionic bristles & 100% boar bristles + Eliminates frizz & flyaways + Create curls, add volume or straighten hair + Smooth shiny finish + Large vents maximize airflow",Tourmaline Ion Technology + Adds luster & sheen + Smooth hair,Unique Handle Design + Snag-free neck ring + Ergonomic comfort grip + Lightweight for effortless styling + Retractable sectioning pick,,,,,,,https://youtu.be/PZ0I64bLvKQ,https://youtu.be/7cMZtGsoSOI,https://youtu.be/Xczjl32kB-o,https://vimeo.com/105593456,https://vimeo.com/183907328,https://vimeo.com/184916114,,,"English, French, Spanish",,,,,,,,,,,
715-CIOVLTWINMD,hair_brushes,1,og_products,,715,CIOVLTWINMD,752110715380,Olivia Garden,C + I Turbo Vent Oval Twin Medium,CERAMIC + ION OVAL TWIN MEDIUM,Hair Brushes,,,,,6,60,30752110715381,17.45,10.47,9.42,8.73,7.85,13.09,28.95,36.16,21.69,5.53,,,,10.85,9.76,9.5,2.4,3.3,4,2.8304,10.75,2.95,13.39,1.8625,15.4,22.4,14.5,23.4,24.13,6.096,8.382,113.398,176.9009,27.3,7.5,34,0.8448,39.116,56.896,36.83,10.6141,185.1255,1088.6160,,3.1184,,0.1418,1.9845,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Ceramic Technology + Fast & better styling + Ceramic coated barrel + Maximizes heat,Large vents maximize airflow + Lightweight & comfortable + 100% boar bristles for styling + Curved side for lift & shape + Flat side for straightening + Ionic bristles for detangling & brushing,Tourmaline Ion Technology + Adds luster & sheen + Smooths hair,Unique Patented Design + Snag-free neck ring + Ergonomic comfort grip + Lightweight for effortless styling + Retractable setioning pick,,,,,,,https://youtu.be/K3yTXUPqxNc,https://youtu.be/8J6etSsTEUg,https://youtu.be/-8W7ycUW-s4,https://vimeo.com/105591066,https://vimeo.com/183907326,https://vimeo.com/184916111,,,"English, French, Spanish",,,,,,,,,,,
715-CIOVLTWINLG,hair_brushes,1,og_products,,715,CIOVLTWINLG,752110715397,Olivia Garden,C + I Turbo Vent Oval Twin Large,CERAMIC + ION OVAL TWIN LARGE,Hair Brushes,,,,,6,60,30752110715398,18.99,11.39,10.25,9.5,8.55,14.24,31.5,39.58,23.75,6.45,,,,11.88,10.69,9.8425,2.795,1.772,4.8,2.9877,11.8,3.2,15.5,2.1625,16.8,24.6,15.8,24.7,25,7.1,4.5,136.0776,186.7288,29.972,8.128,39.37,0.9809,42.672,62.484,40.132,11.2037,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latest Ceramic Technology + Fast & better styling + Ceramic coated barrel + Maximizes heat,Large vents maximize airflow + Lightweight & comfortable + 100% boar bristles for styling + Curved side for lift & shape + Flat side for straightening + Ionic bristles for detangling & brushing,Tourmaline Ion Technology + Adds luster & sheen + Smooths hair,Unique Patented Design + Snag-free neck ring + Ergonomic comfort grip + Lightweight for effortless styling + Retractable setioning pick,,,,,,,https://youtu.be/K3yTXUPqxNc,https://youtu.be/8J6etSsTEUg,https://youtu.be/-8W7ycUW-s4,https://vimeo.com/105591066,https://vimeo.com/183907326,https://vimeo.com/184916111,,,"English, French, Spanish",,,,,,,,,,,
715-CISPBR,hair_brushes,1,og_products,,715,CISP-BR,752110715366,Olivia Garden,C + I Supreme Boar,CERAMIC + ION SUPREME BOAR,Hair Brushes,,,,,6,120,30752110715367,17.45,10.47,9.42,8.73,7.85,13.09,28.95,36.16,21.69,4.86,,,,10.85,9.76,9.6,1.8,3,4.4,2.655,10.55,2.44,14.06,2.0438,23.6,22.2,15,43.9,24.384,4.575,7.62,124.7378,165.9391,26.8,6.2,35.7,0.927,59.944,56.388,38.1,19.9127,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/xms7m94otybrx9k/AAAytWGVX7vCll9G46U7iwmua?dl=0,,https://www.dropbox.com/s/pedjjirjfk0jysu/CISP_SellSheet_LR.pdf?dl=0,,,Boar Supreme Features + Ionic soft cushion + Gentle on hair & scalp + For daily brushing & styling + Eliminate frizz & flyaways + Smooth shiny finish,Unique Handle Design + Snag-free neck ring + Ergonomic comfort grip + Retractable sectioning pick,Tourmaline Ion Technology + Adds luster & sheen + Smooths hair,,,,,,,,https://youtu.be/8aifByXc2NI,https://youtu.be/Xgd0GB7pJNo,https://youtu.be/Qz2zydmrNUg,https://vimeo.com/105591061,https://vimeo.com/183907327,https://vimeo.com/184916101,,,"English, French, Spanish",,,,,,,,,,,
715-CISPCO,hair_brushes,1,og_products,,715,CISP-CO,752110715359,Olivia Garden,C + I Supreme Combo,CERAMIC + ION SUPREME COMBO,Hair Brushes,,,,,6,120,30752110715350,17.45,10.47,9.42,8.73,7.85,13.09,28.95,36.16,21.69,4.86,,,,10.85,9.76,9.6,1.7,3.4,4.4,2.7155,10.51,2.24,14.09,2.075,23.6,22,14.8,44.9,24.384,4.318,8.636,124.7378,169.719,26.7,5.7,35.8,0.9412,59.944,55.88,37.592,20.3663,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/xms7m94otybrx9k/AAAytWGVX7vCll9G46U7iwmua?dl=0,,https://www.dropbox.com/s/pedjjirjfk0jysu/CISP_SellSheet_LR.pdf?dl=0,,,Boar Supreme Features + Ionic soft cushion + Gentle on hair & scalp + For daily brushing & styling + Eliminate frizz & flyaways + Smooth shiny finish,Unique Handle Design + Snag-free neck ring + Ergonomic comfort grip + Retractable sectioning pick,Tourmaline Ion Technology + Adds luster & sheen + Smooths hair,,,,,,,,https://youtu.be/8aifByXc2NI,https://youtu.be/Xgd0GB7pJNo,https://youtu.be/Qz2zydmrNUg,https://vimeo.com/105591061,https://vimeo.com/183907327,https://vimeo.com/184916101,,,"English, French, Spanish",,,,,,,,,,,
715-CISTLR7,hair_brushes,1,og_products,,715,CISTL-R7,752110715403,Olivia Garden,C + I Styler 7-row,CERAMIC + ION STYLER R7,Hair Brushes,,,,,6,120,30752110715404,11.5,6.9,6.21,5.75,5.18,8.63,18.95,23.66,14.2,2.87,,,,7.1,6.39,1.67,9.41,1.89,3.84,2.2486,11.54,2.17,9.72,1.7313,19.25,21.25,12.25,37.18,4.218,23.9014,4.8006,108.8621,140.5379,29.3,5.5,24.7,0.7853,48.895,53.975,31.115,16.8646,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/jotor0x8mdtp17w/AABCFk3MWGaxR7oiD62WAB-5a?dl=0,,https://www.dropbox.com/s/5fd7hgicfsbvocr/CISP_SellSheet_LR.pdf?dl=0,,,Styler 7-Row Features + Anti-static + Ion charged bristles + Comfortable ball point tips + Heat resistant ionic rubber pad + Ideal for styling & shaping short to medium hair,Unique Handle Design + Snag-free neck ring + Ergonomic comfort grip + Retractable sectioning pick,Tourmaline Ion Technology + Adds luster & sheen + Smooths hair,,,,,,,,https://youtu.be/8aifByXc2NI,https://youtu.be/Xgd0GB7pJNo,https://youtu.be/Qz2zydmrNUg,https://vimeo.com/105591061,https://vimeo.com/183907327,https://vimeo.com/184916101,,,"English, French, Spanish",,,,,,,,,,,
715-CITVBROVLMD,hair_brushes,1,og_products,,715,CITVBROVLMD,752110715434,Olivia Garden,,C + I TURBO VENT BOAR OVAL MED,Hair Brushes,,,,,6,60,30752110715435,,,,,,,,,,,,,,,,9.5,2.5,3.5,4.48,2.782,,,,,20.5,15,14.5,23,24.13,6.35,8.89,127.0058,173.8769,,,,,52.07,38.1,36.83,10.4326,,,,,,,,,,,,,SANGSHIN,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English, French, Spanish",,,,,,,,,,,
710-T16,hair_brushes,1,og_products,,710,T-16,752110710071,Olivia Garden,"ProThermal 3/4""",PROTHERMAL T-16,Hair Brushes,,,,,6,120,30752110710072,8.99,5.39,4.85,4.5,4.05,6.74,14.75,18.32,10.99,2,,,,5.5,4.95,10.2,1.125,1.125,2.4,1.4001,3.82,2.48,10.55,1.075,21.8,9,14.4,23.15,25.908,2.858,2.858,68.0388,87.5055,9.7,6.3,26.8,0.4876,55.372,22.86,36.576,10.5007,,,,,,,,,,,,,DAEHUNG,South Korea,,,,,,,,,,,,,,,,,,,,,,,,https://www.dropbox.com/sh/h5u46oh65ii9rkp/AAD-B31s134cof4eUKBuRs0Pa?dl=0,,https://www.dropbox.com/s/3ud9rfioqu7c84x/ProThermal%20USA%20ss.pdf?dl=0,,,Vented Cap Design + Keeps top of brush head cool + Boosts ventilation for faster drying + Lighter brush design,"Greater Airlow + Reduces drying time & improves styling results + Increased hole sizes + Heat-conductive surface + Anti-static, high heat resistant bristles",Ergonomic Design + Extremely lightwight + Perfectly balanced to reduce wrist fatigue + Snag-free seamless handle,"Patened retractable sectioning pick + ""Sure Grip"" non-slippery handle surface + ""easy rotation"" functional handle design",,,,,,,https://youtu.be/TglAYK6T8tQ,https://youtu.be/vyWEG58_sF4,https://youtu.be/Uw5NvGzHlcM,https://vimeo.com/105591506,https://vimeo.com/181666455,https://vimeo.com/184916115,https://www.dropbox.com/s/h9wjw3vorgzk63z/Spanish_ProThermal_Sell%20Sheet_Spanish.pdf?dl=0,,"English, French, Spanish",,,,,,,,,,,
